Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_23MA_55,0.18492204360602263,0.8706477636025842,0.010297437627558054,104.0,3129.0,4936.0,0.0
MA_23MA_56,-0.015856644280856768,1.1748131789857243,0.010305954598389414,100.0,3147.0,4936.0,0.0
MA_23MA_57,0.04485278104247593,1.409271536629483,0.010321589639821958,94.0,3156.0,4936.0,0.0
MA_23MA_58,0.04485278104247725,1.5238160733735104,0.010321589639821965,92.0,3157.0,4936.0,0.0
MA_23MA_59,0.005510240061343189,1.412559725092105,0.010329521484320533,92.0,3163.0,4936.0,0.0
MA_23MA_60,0.04927436932342863,1.2220393760570345,0.01033812024891296,86.0,3175.0,4936.0,0.0
MA_23MA_61,0.0418961179042875,1.081118901151633,0.010338680435183666,82.0,3176.0,4936.0,0.0
MA_23MA_62,0.0800817713250556,0.9125754248394575,0.010345785138747043,82.0,3175.0,4936.0,0.0
MA_23MA_63,-0.012518932108083733,1.033608537801082,0.010326506218180462,82.0,3171.0,4936.0,0.0
MA_23MA_64,-0.18583776930494605,0.879078382692986,0.010475713198917755,80.0,3164.0,4936.0,0.0
MA_23MA_65,-0.1512157979504343,0.7072444672562017,0.010486172259765248,80.0,3162.0,4936.0,0.0
MA_23MA_66,-0.18260742314313197,0.6973666061970303,0.010460701152388877,82.0,3153.0,4936.0,0.0
MA_23MA_67,-0.13885205836002054,0.701824058180166,0.010471263486744356,80.0,3158.0,4936.0,0.0
MA_23MA_68,-0.13885205836002,0.6043712058725124,0.010471263486744348,78.0,3151.0,4936.0,0.0
MA_23MA_69,-0.13885205836001926,0.7322753838050973,0.010471263486744353,80.0,3155.0,4936.0,0.0
MA_23MA_70,-0.1433781083236765,0.7843876069676556,0.010451037636586002,78.0,3153.0,4936.0,0.0
MA_23MA_71,-0.16958575339632542,0.9201876621494021,0.010447226082137922,76.0,3150.0,4936.0,0.0
MA_23MA_72,-0.16958575339632623,0.9181878074640268,0.010447226082137915,74.0,3148.0,4936.0,0.0
MA_23MA_73,-0.11901355376514956,0.9575120011596512,0.01044044832048285,72.0,3149.0,4936.0,0.0
MA_23MA_74,-0.08768364679528315,0.959889687491609,0.010432091056741772,72.0,3148.0,4936.0,0.0
MA_23MA_75,-0.08768364679528125,0.9675287075151726,0.010432091056741758,72.0,3143.0,4936.0,0.0
